Structure Id,DFRP Structure Number,TC Identifier,Structure Name,Structure Name (fr),DFRP Reportable,Structure Status,Structure Status,Structure Status (fr),Structure Type,Structure Type,Structure Type (fr),Surplus,Parent Asset No.,Structure Condition,Structure Condition,Structure Condition (fr),Construction Year,Date Placed In Service,Date Decommissioned,Custodian,Custodian Name,Custodian Name,Interest Type Code,Interest Type,Interest Type (fr),Security Code,Security Code,Security Code (fr),Outdoor Parking Spaces,Transferee Custodian,Transferee Custodian Name,Transferee Custodian Name (fr),Archive Type Code,Archive Type Code,Archive Type Code (fr),Structure Use,Structure Use (fr),Partial Space Used,Heritage Designation,Heritage Designation,Heritage Designation (fr),Decision Date,Has ODS Equipment,Wastewater Issue,Waste Program,Hazardous Waste Program,Drinking Water Issue,Green Building Standard,Asbestos Status (EN),Asbestos Status (FR),Asbestos Remark,Asbestos Management Plan (EN),Asbestos Management Plan (FR),Address,Adresse (fr),City,Postal Code,Province Id,Province Name,Province Name (fr),Description,Description (fr),Floor Area (m²),Number of Floors,Indoor Parking Spaces,Area Includes Interior Parking,Outdoor Parking Spaces,has_geometry_ind
173,112214,Q-10,Storage,Entrepôt,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018020,1,Good,Bon/moyen,1988,1988-07-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Warehousing storage and distribution,Entreposage en entrepôt et distribution,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,P.O. Box 10,C.P. 10,Blanc Sablon,G0G 1W0,24,Quebec,Québec,...,...,101,1,0,0,,1
174,112215,Q-9,Garage,Garage,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018012,1,Good,Bon/moyen,1983,1983-07-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Vehicle/equipment storage,Entreposage des véhicules/de l'équipement,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,P.O. Box 10,C.P. 10,Blanc Sablon,G0G 1W0,24,Quebec,Québec,...,...,374,1,0,0,,1
175,8302,897,Hangar,Hangar,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017905,2,Fair,Passable,1955,1994-03-01 0:00,,174,Transport Canada (Port Programs),Transports Canada (Programmes portuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Marine transport depot/station/ terminal,Dépôt/gare pour le transport maritime,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,,,,,,La Tabatiere,La Tabatiere,La Tabatière,G0G 1T0,24,Quebec,Québec,...,...,292,1,0,0,,1
176,8391,,Sand Storage,Entrepôt de sable,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018852,1,Good,Bon/moyen,2005,2005-06-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Warehousing storage and distribution,Entreposage en entrepôt et distribution,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,Schefferville Airport,Aéroport de Schefferville,Schefferville,G0G 2T0,24,Quebec,Québec,...,...,199,1,0,0,,1
177,112216,,Storage,Entrepôt,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130060834,3,Poor,Piètre qualité,2005,2006-11-03 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Warehousing storage and distribution,Entreposage en entrepôt et distribution,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,Schefferville Airport,Aéroport de Schefferville,Schefferville,G0G 2T0,24,Quebec,Québec,...,...,168,1,0,0,,1
178,112217,Q-01,Air Terminal Building,Aérogare,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018844,3,Poor,Piètre qualité,1952,1952-07-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Air transport depot/station/ terminal,Dépôt/aérogare pour transport aérien,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,Schefferville Airport,Aéroport de Schefferville,Schefferville,G0G 2T0,24,Quebec,Québec,...,...,383,1,0,0,,1
179,112218,Q-02,Garage,Garage,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018845,3,Poor,Piètre qualité,1952,1952-07-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Vehicle/equipment storage,Entreposage des véhicules/de l'équipement,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,Schefferville Airport,Aéroport de Schefferville,Schefferville,G0G 2T0,24,Quebec,Québec,...,...,565,1,0,0,,1
180,8490,C900100,Cornwall - Headquarters,Cornwall - Siège social,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130658541,1,Good,Bon/moyen,1959,1998-09-30 0:00,,175,Transport Canada (St. Lawrence Seaway),Transports Canada (Voie maritime du Saint-Laurent),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Office,Bureau,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,202 Pitt Street,202 rue Pitt,Cornwall ,,35,Ontario,Ontario,...,...,5565,1,0,0,,1
181,8508,LK7-3 / M900130,Linemen's Building,Edifice des homes de cordage,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130016558,1,Good,Bon/moyen,1979,1998-09-30 0:00,,175,Transport Canada (St. Lawrence Seaway),Transports Canada (Voie maritime du Saint-Laurent),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Office,Bureau,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,Iroquois Lock,Ecluse à Iroquois,Iroquois,,35,Ontario,Ontario,...,...,150,1,0,0,,1
182,113907,LK7-4 / M900131,West Control Tower,Tour de contrôle - ouest,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130016559,1,Good,Bon/moyen,1979,1998-09-30 0:00,,175,Transport Canada (St. Lawrence Seaway),Transports Canada (Voie maritime du Saint-Laurent),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Controlled storage,Entreposage contrôlé,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,Iroquois Lock,Ecluse à Iroquois,Iroquois,,35,Ontario,Ontario,...,...,138,1,0,0,,1
183,8708,O-124,Aircraft Sewage Disposal Facility,Disposition des eaux usées d'aéronefs,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017781,2,Fair,Passable,1983,1983-04-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Sewage treatment facility,Traitement des eaux usées,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,1000 Airport Parkway Private,1000 promenade de l'Aéroport Privée,Ottawa,,35,Ontario,Ontario,...,...,155,1,0,0,,1
184,112221,O-276,Aircraft Services Training Centre - Ottawa,Centre de formation d'entretien des aéronefs - Ottawa,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130001300,2,Fair,Passable,1991,1992-03-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"University, college, school, or training centre","Université, collège, école ou centre de formation",0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,20 Airbus Private,20 Airbus Privée,Ottawa,,35,Ontario,Ontario,Single floor white building with flat roof,"Structure d'un niveau, blanche avec toit plat",1990,1,0,0,,1
185,112222,,Gloucester Landfill Test Centre - Pump House,Centre d'Épreuve d'Enfouissement des déchets de Gloucester - station de pompage,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130023063,2,Fair,Passable,1992,1992-02-28 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Water treatment facility,Installation de traitement de l'eau,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,1000 Airport Parkway Private,1000 promenade de l'Aéroport Privée,Ottawa,,35,Ontario,Ontario,Water collector well,Puis,19,1,0,0,,1
187,112224,O-215,Economy Parking Lot Office,Bureau du lot stionnement économique,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017783,2,Fair,Passable,1989,1989-05-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Office,Bureau,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,1000 Airport Parkway Private,1000 promenade de l'Aéroport Privée,Ottawa,,35,Ontario,Ontario,Lots E1 and E1R,Lots E1 and E1R,66,1,0,0,,1
188,112225,O-267,P.C.B Building,Edifice P.C.B,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017784,2,Fair,Passable,1991,1991-11-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Controlled storage,Entreposage contrôlé,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,1000 Airport Parkway Private,1000 promenade de l'Aéroport Privée,Ottawa,,35,Ontario,Ontario,Paint shed,"peindre abri
",56,1,0,0,,1
191,112228,O-278,Sand Storage Building,Entrepôt à sable,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017787,2,Fair,Passable,1995,1995-03-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Warehousing storage and distribution,Entreposage en entrepôt et distribution,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,1000 Airport Parkway Private,1000 promenade de l'Aéroport Privée,Ottawa,,35,Ontario,Ontario,...,...,368,1,0,0,,1
192,112229,,Main Parking Lot/Two Booths/Office And Shelter,Stationnement principal,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017796,2,Fair,Passable,1987,1987-06-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Office,Bureau,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,Airport Parkway Private,Promenade de l'Aéroport Privée,Ottawa,,35,Ontario,Ontario,...,...,46,1,0,0,,1
193,112230,T-041,Hangar,Hangar,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017790,2,Fair,Passable,1980,1980-11-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Hangar,Hangar avion,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,1000 Airport Parkway Private,1000 promenade de l'Aéroport Privée,Ottawa,,35,Ontario,Ontario,...,...,889,1,0,0,,1
197,112234,T-058,Aircraft Services  - H.Q. - Ottawa,Entretien des aéronefs  - Siège Social - Ottawa,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130020177,2,Fair,Passable,1960,1993-06-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Hangar,Hangar avion,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,200 Comet Private,200 Comet privé,Ottawa,K1V 9B2,35,Ontario,Ontario,Cantilever Hangar,Hangar à encorbellement,21357,2,0,0,,1
384,112420,614205-B001,Ex-Vanderlight House,Ancienne Maison Vanderlight,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Housing – single,Logement - simple,0,NONE,No Heritage Value,Aucune valeur patrimoniale,,0,0,0,0,0,0,Yes,Oui,March 2021: Asbestos-containing material removal required for compliance,Yes,Oui,"3730 Brock Road, Rural Road 5","3730 chemin Brock, Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,131,1,0,0,,1
386,112422,614205-B003,Shed,Remise,0,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,8,Administrative Adjustment,Modification administrative,"Shelter – equipment, machinery, or supplies","Abri-équipement,machinerie,fournitures",0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"3730 Brock Road,  Rural Road 5","3730 chemin Brock, Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,14,1,0,0,,1
403,112439,614217-B001,Ex-Barklay House,Ancienne Maison Barklay,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Housing – single,Logement - simple,0,NONE,No Heritage Value,Aucune valeur patrimoniale,,0,0,0,0,0,0,Yes,Oui,March 2021: Pre-contamination (Isolation Type 2) - Asbestos-containing material removal required for compliance,Yes,Oui,"1705 Concession Road 7, Rural Road 5","1705 route Concession 7,  Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,121,1,0,0,,1
404,112440,614218-B001,House ex-Roberts,Ancienne maison Roberts,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1961,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Housing – single,Logement - simple,0,NONE,No Heritage Value,Aucune valeur patrimoniale,,0,0,0,0,0,0,Yes,Oui,March 2021: Final Visual (Isolation Type 1) - Asbestos-containing material removal required for compliance,Yes,Oui,"1665 Concession Road 7, Rural Road 5","1665 route Concession 7,  Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,133,1,0,0,,1
407,112443,614220-B001,Ex-Ramsay House,Ancienne Maison Ramsay,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Housing – single,Logement - simple,0,NONE,No Heritage Value,Aucune valeur patrimoniale,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,1612 Highway 7,1612 Route 7,Pickering,,35,Ontario,Ontario,...,...,122,1,0,0,,1
413,112449,614228-B001,Shed,Remise,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Shelter – equipment, machinery, or supplies","Abri-équipement,machinerie,fournitures",0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,1400 Highway 7,1400 Route 7,Pickering,,35,Ontario,Ontario,...,...,18,1,0,0,,1
414,112450,614228-B002,House ex-Beckett,Ancienne maison Beckett,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1950,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Housing – single,Logement - simple,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,March 2021: Final Visual (Isolation Type 1) - Asbestos-containing material repair.,Yes,Oui,1400 Highway 7,1400 Route 7,Pickering,,35,Ontario,Ontario,...,...,136,1,0,0,,1
415,112451,614232-B001,Former Mount Pleasant School House,Ancienne école Mount Pleasant,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1858,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Housing – single,Logement - simple,0,RECOGNIZED,Recognized,Reconnu,2006-09-18 0:00,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"1503 Concession 7, Route Rural 5","1503 Concession 7, Route Rural 5",Pickering,,35,Ontario,Ontario,"Former Lishman, Former Mount Pleasant School House"," Ancien Lishman, Ancienne Mount Pleasant House School",135,1,0,0,,1
416,112452,614232-B002,Garage,Garage,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Vehicle/equipment storage,Entreposage des véhicules/de l'équipement,0,NONE,No Heritage Value,Aucune valeur patrimoniale,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"1503 Concession 7, Route Rural 5","1503 Concession 7, Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,79,1,0,0,,1
423,112459,614238-B001,Barn,étable,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Shelter – animal,Abri - animaux,0,NONE,No Heritage Value,Aucune valeur patrimoniale,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"1185 Concession 7, Rural Road 5","1185 Concession 7, Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,350,1,0,0,,1
424,112460,614238-B002,Ex-Toronto Catholic Cemetary Association House,Ancienne Maison de l'Association Cimetière Catholique de Toronto,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Housing – single,Logement - simple,0,NONE,No Heritage Value,Aucune valeur patrimoniale,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"1185 Concession 7, Rural Road 5","1185 Concession 7, Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,84,1,0,0,,1
425,112461,614238-B003,Shed,Remise,0,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,8,Administrative Adjustment,Modification administrative,"Shelter – equipment, machinery, or supplies","Abri-équipement,machinerie,fournitures",0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"1185 Concession 7, Rural Road 5","1185 Concession 7, Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,4,1,0,0,,1
426,112462,614238-B004,Shed,Remise,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Shelter – equipment, machinery, or supplies","Abri-équipement,machinerie,fournitures",0,NONE,No Heritage Value,Aucune valeur patrimoniale,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"1185 Concession 7, Rural Road 5","1185 Concession 7, Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,77,1,0,0,,1
427,112463,614242-B001,Ex-Gerngross House,Ancienne Maison Gerngross,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Housing – single,Logement - simple,0,NONE,No Heritage Value,Aucune valeur patrimoniale,,0,0,0,0,0,0,Yes,Oui,March 2021: Asbestos-containing material removal required for compliance,Yes,Oui,3625 Sideline 26,3625 Sideline 26,Pickering,,35,Ontario,Ontario,...,...,267,1,0,0,,1
429,112465,614242-B003,Shed,Remise,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Shelter – equipment, machinery, or supplies","Abri-équipement,machinerie,fournitures",0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,9760 Heron Road,9760 chemin Heron,Pickering,,35,Ontario,Ontario,...,...,23,1,0,0,,1
430,112466,614246-B001,Garage,Garage,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Vehicle/equipment storage,Entreposage des véhicules/de l'équipement,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"3705 Sideline 26, Rural Road 5","3705 Sideline 26, Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,63,1,0,0,,1
431,112467,614246-B002,House,Maison,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Housing – single,Logement - simple,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"3705 Sideline 26, Rural Road 5","3705 Sideline 26, Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,193,1,0,0,,1
432,112468,614246-B003,Shed,Remise,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Shelter – equipment, machinery, or supplies","Abri-équipement,machinerie,fournitures",0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"3705 Sideline 26, Rural Road 5","3705 Sideline 26, Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,46,1,0,0,,1
436,112472,614246-B007,Shed,Remise,0,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,8,Administrative Adjustment,Modification administrative,"Shelter – equipment, machinery, or supplies","Abri-équipement,machinerie,fournitures",0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"3705 Sideline 26, Rural Road 5","3705 Sideline 26, Route Rural 5",Pickering,,35,Ontario,Ontario,...,...,5,1,0,0,,1
441,112477,614256-B001,Ex-Tapscott House,Ancienne maison Tapscott,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Housing – single,Logement - simple,0,NONE,No Heritage Value,Aucune valeur patrimoniale,2006-05-16 0:00,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,3750 Sideline 26 Rural Road 5,"3750 Sideline 26, Route Rural 5",Pickering,,35,Ontario,Ontario,Ex-Tapscott,Ex-Tapscott,148,1,0,0,,1
442,112478,614256-B002,Barn,étable,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Shelter – animal,Abri - animaux,0,NONE,No Heritage Value,Aucune valeur patrimoniale,2006-05-16 0:00,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,3750 Sideline 26 Rural Road 5,"3750 Sideline 26, Route Rural 5",Pickering,,35,Ontario,Ontario,Ex-Tapscott,Ex-Tapscott,248,1,0,0,,1
443,112479,614258-B001,Ex-Tapscott House,Ancienne maison Ex-Tapscott,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Housing – single,Logement - simple,0,NONE,No Heritage Value,Aucune valeur patrimoniale,2006-05-16 0:00,0,0,0,0,0,0,Yes,Oui,March 2021: Asbestos-containing material removal required for compliance,Yes,Oui,"3815 Sideline 28, Rural Road 5","3815 Sideline 28, Route Rural 5",Pickering,,35,Ontario,Ontario,Ex-Tapscott,Ex-Tapscott,179,1,0,0,,1
444,112480,614258-B002,Shed,Remise,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018638,2,Fair,Passable,1973,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Shelter – equipment, machinery, or supplies","Abri-équipement,machinerie,fournitures",0,NONE,No Heritage Value,Aucune valeur patrimoniale,2006-05-16 0:00,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"3815 Sideline 28, Rural Road 5","3815 Sideline 28, Route Rural 5",Pickering,,35,Ontario,Ontario,Ex-Tapscott,Ex-Tapscott,32,1,0,0,,1
